SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,120 - 122 Coso Ave #120,San Francisco,CA,94110,698000,2,1.0,San Francisco,950,2150,1900,1,735,,Active,October-5-2021 02:00 PM,October-5-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/120-Coso-Ave-94110/unit-120/home/176621753,San Francisco MLS,421600047,N,Y,37.7457833,-122.4177977
MLS Listing,,Condo/Co-op,120 - 122 Coso Ave #122,San Francisco,CA,94110,849000,2,1.0,San Francisco,1175,2150,1900,1,723,,Active,October-5-2021 02:00 PM,October-5-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/120-Coso-Ave-94110/unit-122/home/176621706,San Francisco MLS,421600048,N,Y,37.7457833,-122.4177977
MLS Listing,,Multi-Family (2-4 Unit),120 - 122 Coso Ave,San Francisco,CA,94110,1549000,4,,San Francisco,2125,2150,1900,1,729,,Active,October-5-2021 02:00 PM,October-5-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/120-Coso-Ave-94110/home/1371137,San Francisco MLS,421599354,N,Y,37.7457833,-122.4177977
MLS Listing,,Multi-Family (5+ Unit),916 - 920 Clay St,San Francisco,CA,94108,1850000,0,,San Francisco,3681,1337,1907,1,503,,Active,,,http://www.redfin.com/CA/San-Francisco/916-Clay-St-94108/home/1088750,San Francisco MLS,421599440,N,Y,37.7941745,-122.4082915
MLS Listing,,Condo/Co-op,118 Palm Ave,San Francisco,CA,94118,1195000,2,1.0,San Francisco,1232,4816,1910,1,970,219,Active,October-7-2021 04:30 PM,October-7-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/118-Palm-Ave-94118/home/1349655,San Francisco MLS,421599508,N,Y,37.78334,-122.457533
MLS Listing,,Single Family Residential,1717 Webster St,San Francisco,CA,94115,2895000,4,2.5,San Francisco,2445,1642,1900,1,1184,,Active,October-5-2021 11:00 AM,October-5-2021 12:30 PM,http://www.redfin.com/CA/San-Francisco/1717-Webster-St-94115/home/1871630,San Francisco MLS,421600861,N,Y,37.7867592,-122.4320039
MLS Listing,,Single Family Residential,38 Stoneyford Ave,San Francisco,CA,94112,949000,2,1.0,San Francisco,862,2352,1942,1,1101,,Active,October-5-2021 02:00 PM,October-5-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/38-Stoneyford-Ave-94112/home/770944,San Francisco MLS,421600835,N,Y,37.7305112,-122.4211838
MLS Listing,,Condo/Co-op,1503 Waller St,San Francisco,CA,94117,735000,1,1.0,San Francisco,535,2979,1895,1,1374,577,Active,,,http://www.redfin.com/CA/San-Francisco/1503-Waller-St-94117/home/176621127,San Francisco MLS,421600783,N,Y,37.7687425,-122.4487054
MLS Listing,,Condo/Co-op,56 Linda St,San Francisco,CA,94110,699000,1,1.0,Dolores,668,2004,1907,1,1046,225,Active,October-9-2021 01:00 PM,October-9-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/56-Linda-St-94110/home/110052355,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40969527,N,Y,37.7590642,-122.4228463
MLS Listing,,Condo/Co-op,1101 Green St #603,San Francisco,CA,94109,1150000,1,2.0,San Francisco,918,5279,1928,1,1253,1491,Active,,,http://www.redfin.com/CA/San-Francisco/1101-Green-St-94109/unit-603/home/541969,San Francisco MLS,421596984,N,Y,37.7982681,-122.4174152
MLS Listing,,Single Family Residential,2941 26th Ave,San Francisco,CA,94132,2688000,4,3.0,San Francisco,2700,4399,1934,1,996,,Active,,,http://www.redfin.com/CA/San-Francisco/2941-26th-Ave-94132/home/1966965,San Francisco MLS,421594631,N,Y,37.7335435,-122.4822149
MLS Listing,,Condo/Co-op,2100 Green St #502,San Francisco,CA,94123,2950000,2,2.5,San Francisco,1850,,1927,1,1595,,Active,,,http://www.redfin.com/CA/San-Francisco/2100-Green-St-94123/unit-502/home/12400235,San Francisco MLS,421600806,N,Y,37.7965566,-122.4339526
MLS Listing,,Condo/Co-op,507 Pennsylvania Ave,San Francisco,CA,94107,1725000,3,3.0,San Francisco,1960,1911,1981,1,880,170,Active,October-5-2021 01:00 PM,October-5-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/507-Pennsylvania-Ave-94107/home/732981,San Francisco MLS,421599268,N,Y,37.760028,-122.393061
MLS Listing,,Single Family Residential,196 Newton St,San Francisco,CA,94112,1195000,2,1.0,San Francisco,1903,2260,1915,1,628,,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/196-Newton-St-94112/home/796288,San Francisco MLS,421599333,N,Y,37.7121418,-122.4383855
MLS Listing,,Condo/Co-op,155 Hancock St #1,San Francisco,CA,94114,957000,1,1.0,San Francisco,712,4560,1979,1,1344,186,Active,,,http://www.redfin.com/CA/San-Francisco/155-Hancock-St-94114/unit-1/home/1878833,San Francisco MLS,421574748,N,Y,37.7600906,-122.4317736
MLS Listing,,Condo/Co-op,1201 California St #206,San Francisco,CA,94109,589000,0,1.0,San Francisco,,,,1,,500,Active,October-10-2021 10:00 AM,October-10-2021 12:00 PM,http://www.redfin.com/CA/San-Francisco/1201-California-St-94109/unit-206/home/12400743,San Francisco MLS,421575592,N,Y,37.790957,-122.4143844
MLS Listing,,Single Family Residential,774 39th Ave,San Francisco,CA,94121,1450000,3,2.5,San Francisco,1120,3118,1925,1,1295,,Active,October-6-2021 03:00 PM,October-6-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/774-39th-Ave-94121/home/616993,San Francisco MLS,421600821,N,Y,37.774248,-122.4991491
MLS Listing,,Single Family Residential,1782 Revere Ave,San Francisco,CA,94124,799000,2,1.0,San Francisco,1075,2500,1907,1,743,,Active,,,http://www.redfin.com/CA/San-Francisco/1782-Revere-Ave-94124/home/2005176,San Francisco MLS,421593757,N,Y,37.7337198,-122.393354
MLS Listing,,Condo/Co-op,400 Bristol Ct #107,San Francisco,CA,94130,1156000,1,1.0,San Francisco,898,231763,,1,1287,1308,Active,,,http://www.redfin.com/CA/San-Francisco/1-Yerba-Buena-Rd-94130/unit-107/home/176618802,San Francisco MLS,421600782,N,Y,37.8108709,-122.3668348
MLS Listing,,Condo/Co-op,301 Mission St Unit 15H,San Francisco,CA,94105,775000,1,1.0,San Francisco,773,50667,2009,1,1003,1520,Active,,,http://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-15H/home/40138346,San Francisco MLS,421600781,N,Y,37.7903824,-122.3961531
MLS Listing,,Multi-Family (2-4 Unit),1215 - 1217 Vallejo St,San Francisco,CA,94109,2100000,4,1.0,San Francisco,2792,2339,1908,1,752,,Active,,,http://www.redfin.com/CA/San-Francisco/1215-Vallejo-St-94109/home/2035548,San Francisco MLS,421598573,N,Y,37.7972975,-122.4173541
MLS Listing,,Single Family Residential,3019 Broderick St,San Francisco,CA,94123,2950000,3,2.0,SFO - San Francisco,1827,1934,1938,1,1615,,Active,,,http://www.redfin.com/CA/San-Francisco/3019-Broderick-St-94123/home/1984313,CRMLS,PW21219686,N,Y,37.7981992,-122.4444394
MLS Listing,,Condo/Co-op,590 6th St #303,San Francisco,CA,94103,1299000,2,2.0,San Francisco,1356,13734,2001,1,958,820,Active,October-9-2021 12:00 PM,October-9-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/590-6th-St-94103/unit-303/home/853378,San Francisco MLS,421600758,N,Y,37.7747537,-122.4014635
MLS Listing,,Condo/Co-op,888 7th St #130,San Francisco,CA,94107,399888,1,1.0,San Francisco,549,95280,2007,1,728,389,Active,,,http://www.redfin.com/CA/San-Francisco/888-7th-St-94107/unit-130/home/22894589,San Francisco MLS,421592179,N,Y,37.7705534,-122.4004057
MLS Listing,,Condo/Co-op,810 Lyon St #2,San Francisco,CA,94115,899000,2,1.0,San Francisco,964,2422,1966,1,933,265,Active,October-5-2021 09:00 AM,October-5-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/810-Lyon-St-94115/unit-2/home/176618188,San Francisco MLS,421596381,N,Y,37.7785443,-122.4432819
MLS Listing,,Single Family Residential,246 Grand View Ave,San Francisco,CA,94114,2050000,3,4.5,San Francisco,1890,2273,1908,1,1085,,Active,October-5-2021 12:00 PM,October-5-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/246-Grand-View-Ave-94114/home/674973,San Francisco MLS,421599175,N,Y,37.7543081,-122.4412277
MLS Listing,,Condo/Co-op,2090 Pacific Ave #506,San Francisco,CA,94109,1195000,1,1.0,San Francisco,1050,12215,1928,2,1138,566,Active,,,http://www.redfin.com/CA/San-Francisco/2090-Pacific-Ave-94109/unit-506/home/951314,San Francisco MLS,421594083,N,Y,37.794342,-122.4296436
MLS Listing,,Single Family Residential,160 De Long St,San Francisco,CA,94112,925000,3,2.0,San Francisco,925,2495,1951,2,,,Active,,,http://www.redfin.com/CA/San-Francisco/160-De-Long-St-94112/home/1656358,MetroList,421599628,N,Y,37.7097785,-122.4618367
MLS Listing,,Condo/Co-op,1 Federal St #42,SAN FRANCISCO,CA,94107,768000,1,1.0,SAN FRANCISCO,658,,2003,2,1167,721,Active,,,http://www.redfin.com/CA/San-Francisco/1-Federal-St-94107/unit-42/home/1600192,MLSListings,ML81865233,N,Y,37.7841242,-122.3910528
MLS Listing,,Single Family Residential,55 San Anselmo Ave,San Francisco,CA,94127,2895000,4,3.0,San Francisco,2620,5166,1929,2,1105,202,Active,October-4-2021 05:30 PM,October-4-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/55-San-Anselmo-Ave-94127/home/1003679,San Francisco MLS,421599367,N,Y,37.7372752,-122.4669585
MLS Listing,,Single Family Residential,67 Mirabel Ave,SAN FRANCISCO,CA,94110,1095000,2,2.0,SAN FRANCISCO,1188,2495,1912,2,922,,Active,,,http://www.redfin.com/CA/San-Francisco/67-Mirabel-Ave-94110/home/1362410,MLSListings,ML81865226,N,Y,37.7468044,-122.4159882
MLS Listing,,Single Family Residential,520 Laidley St,San Francisco,CA,94131,1198000,2,2.0,San Francisco,,3397,1924,2,,,Active,October-5-2021 12:00 PM,October-5-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/520-Laidley-St-94131/home/1655963,San Francisco MLS,421599509,N,Y,37.7359625,-122.4313617
MLS Listing,,Single Family Residential,947 Edinburgh St,San Francisco,CA,94112,998000,3,3.0,San Francisco,1469,2509,1913,2,679,,Active,October-7-2021 05:00 PM,October-7-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/947-Edinburgh-St-94112/home/1807920,San Francisco MLS,421600583,N,Y,37.7150527,-122.4363396
MLS Listing,,Single Family Residential,1700 Sloat Blvd,San Francisco,CA,94132,2198000,6,4.5,San Francisco,2496,4412,1949,2,881,,Active,October-5-2021 01:00 PM,October-5-2021 02:30 PM,http://www.redfin.com/CA/San-Francisco/1700-Sloat-Blvd-94116/home/1782192,San Francisco MLS,421599083,N,Y,37.7342557,-122.4915003
MLS Listing,,Single Family Residential,65 Castenada Ave,San Francisco,CA,94116,2250000,3,1.5,San Francisco,2010,10201,1926,2,1119,,Active,,,http://www.redfin.com/CA/San-Francisco/65-Castenada-Ave-94116/home/1486427,San Francisco MLS,421600630,N,Y,37.75001,-122.4618726
MLS Listing,,Condo/Co-op,1300 22nd St #300,San Francisco,CA,94107,1280000,2,2.0,San Francisco,915,32000,2016,2,1399,753,Active,October-5-2021 01:00 PM,October-5-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/1300-22nd-St-94107/unit-300/home/167315241,San Francisco MLS,421599191,N,Y,37.7578379,-122.3944714
MLS Listing,,Condo/Co-op,200 Brannan St #306,San Francisco,CA,94107,1499000,2,2.0,San Francisco,1525,72899,2004,2,983,885,Active,October-9-2021 01:00 PM,October-9-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/200-Brannan-St-94107/unit-306/home/1170558,San Francisco MLS,421600557,N,Y,37.7838833,-122.3906104
MLS Listing,,Single Family Residential,19 Riverton Dr,San Francisco,CA,94132,1825000,5,4.0,San Francisco,1924,2495,1949,3,949,,Active,,,http://www.redfin.com/CA/San-Francisco/19-Riverton-Dr-94132/home/1656485,San Francisco MLS,421600250,N,Y,37.7336481,-122.4874325
